Q_GDP_1	Q_GDP_Demand_1	Q_GDP_Demand_2_1
294	NA	NA
295,5965019	311,1317402	291,9354051
293,7723645	309,6539677	290,362313
291,5509812	307,6448784	288,2615959
289,8298859	306,1430116	286,657238
287,3253267	304,1944028	284,6154417
286,8115448	303,4275229	283,7537984
284,051866	300,5331184	280,7632486
286,4498963	302,3479775	282,4686245
287,1835852	302,871591	282,8951711
287,7000405	303,1440205	283,0697409
287,9949301	303,2767655	283,1035833
288,6683107	304,1651364	283,8843626
290,4469631	306,0595315	285,6798479
290,1477197	301,0365896	280,6221464
289,3755315	302,7910782	282,3472798
288,67912	302,3979808	282,3789852
285,9592539	300,1296636	280,2913074
284,0424784	299,8806209	280,0524238
282,4490641	297,9325608	278,04022
283,4638037	296,4023904	276,4368026
286,231701	299,1769015	278,9504206
290,5330704	302,0224065	281,6047212
291,7618521	305,0859935	284,4714806
293,5100185	310,4159993	289,5250099
295,5623477	312,9227564	291,6799871
294,5918264	313,4930105	292,1644833
295,1039984	311,2630458	289,8149951
297,4175101	311,0219864	289,5050123
299,7131907	312,7999917	290,9001869
301,4855685	316,199203	294,1895342
302,2232439	318,09718	296,0965167
303,3863104	317,7090952	295,4102
305,3887461	321,5703061	299,0750307
306,5506116	322,9343774	300,294317
307,4918959	323,2960518	300,5515188
308,286372	324,4889722	301,6122844
307,1857654	324,1044741	301,1209627
310,0087591	324,52661	301,4418056
310,5715121	329,2480641	306,0493648
311,1563861	330,4817742	307,1530509
309,9194991	327,7382379	304,291778
309,5027262	328,0405978	304,4850309
307,9170946	326,7768903	303,1066311
308,6180193	320,9806411	297,1731831
309,9993074	322,5956959	298,6778619
310,9531094	325,1897134	301,1581451
308,8795712	322,7458622	298,5968256
311,940132	323,4480701	299,1642572
314,672424	326,2334013	301,8023105
318,6573634	327,8899392	303,3594865
322,1195058	334,2290314	309,5864915
325,8562112	337,1075827	312,3182565
327,5460258	338,7361431	313,8346626
329,6055126	341,3833405	316,3660672
330,9347102	342,701155	317,687566
333,6462938	342,4693162	317,3190565
334,3648496	343,605141	318,3375616
335,909509	349,6736438	324,6103168
336,8896393	349,0104742	323,820065
340,9534522	353,4340954	327,7880319
343,8186374	356,20278	330,3397803
346,6036452	354,3887684	328,3831811
