wage_aspiration_bargain,wage_CPI,wage_productivity,wage_bargain_interval,wage_freq,e_price,e_quality,adjust_m,theta,markup_freq
0.437500,0.187500,0.875000,0.013750,2.000000,1.500000,1.187500,0.312500,0.184375,3.000000
0.125000,0.375000,0.468750,0.015000,2.000000,1.406250,0.937500,0.093750,1.000000,4.000000
0.906250,0.156250,0.031250,0.014375,1.000000,0.812500,1.468750,0.296875,0.493750,2.000000
1.000000,0.406250,0.937500,0.016250,1.000000,0.937500,0.593750,0.078125,0.887500,2.000000
0.468750,0.218750,0.687500,0.008125,3.000000,0.562500,0.625000,0.359375,0.128125,3.000000
0.312500,0.281250,0.437500,0.003125,4.000000,0.531250,1.031250,0.109375,0.943750,3.000000
0.968750,0.250000,0.000000,0.007500,4.000000,1.375000,0.500000,0.328125,0.521875,2.000000
0.937500,0.343750,0.906250,0.004375,4.000000,1.031250,1.437500,0.125000,0.718750,2.000000
0.218750,0.531250,0.718750,0.000000,2.000000,1.093750,1.093750,0.156250,0.325000,1.000000
0.281250,0.687500,0.218750,0.001875,2.000000,1.343750,0.687500,0.265625,0.690625,1.000000
0.750000,0.968750,0.343750,0.002500,1.000000,0.875000,1.125000,0.031250,0.296875,3.000000
0.656250,0.937500,0.750000,0.009375,2.000000,0.718750,0.656250,0.484375,0.746875,3.000000
0.187500,0.562500,0.593750,0.019375,3.000000,0.843750,0.781250,0.062500,0.240625,1.000000
0.375000,0.875000,0.156250,0.018750,3.000000,0.750000,1.281250,0.281250,0.634375,1.000000
0.843750,0.906250,0.375000,0.013125,3.000000,1.218750,0.843750,0.000000,0.268750,4.000000
0.593750,1.000000,0.812500,0.011250,3.000000,1.312500,1.250000,0.453125,0.662500,3.000000
0.500000,0.500000,0.500000,0.010000,2.000000,1.000000,1.000000,0.250000,0.550000,2.000000
0.562500,0.812500,0.125000,0.006250,3.000000,0.500000,0.812500,0.187500,0.915625,2.000000
0.875000,0.625000,0.531250,0.005000,3.000000,0.593750,1.062500,0.406250,0.100000,1.000000
0.093750,0.843750,0.968750,0.005625,4.000000,1.187500,0.531250,0.203125,0.606250,3.000000
0.000000,0.593750,0.062500,0.003750,4.000000,1.062500,1.406250,0.421875,0.212500,3.000000
0.531250,0.781250,0.312500,0.011875,2.000000,1.437500,1.375000,0.140625,0.971875,2.000000
0.687500,0.718750,0.562500,0.016875,1.000000,1.468750,0.968750,0.390625,0.156250,2.000000
0.031250,0.750000,1.000000,0.012500,1.000000,0.625000,1.500000,0.171875,0.578125,3.000000
0.062500,0.656250,0.093750,0.015625,1.000000,0.968750,0.562500,0.375000,0.381250,3.000000
0.781250,0.468750,0.281250,0.020000,3.000000,0.906250,0.906250,0.343750,0.775000,4.000000
0.718750,0.312500,0.781250,0.018125,3.000000,0.656250,1.312500,0.234375,0.409375,4.000000
0.250000,0.031250,0.656250,0.017500,4.000000,1.125000,0.875000,0.468750,0.803125,2.000000
0.343750,0.062500,0.250000,0.010625,3.000000,1.281250,1.343750,0.015625,0.353125,2.000000
0.812500,0.437500,0.406250,0.000625,2.000000,1.156250,1.218750,0.437500,0.859375,4.000000
0.625000,0.125000,0.843750,0.001250,2.000000,1.250000,0.718750,0.218750,0.465625,4.000000
0.156250,0.093750,0.625000,0.006875,2.000000,0.781250,1.156250,0.500000,0.831250,1.000000
0.406250,0.000000,0.187500,0.008750,2.000000,0.687500,0.750000,0.046875,0.437500,2.000000
